"week_start","region","roi","total_revenue","total_ad_spend"
"2024-04-15 00:00:00+01","Asia","4.21","344965.95","66171.63"
"2024-04-15 00:00:00+01","Europe","4.04","352170.62","69891.93"
"2024-04-15 00:00:00+01","North America","3.91","344888.06","70287.09"
"2024-04-22 00:00:00+01","Asia","4.00","344844.91","68940.42"
"2024-04-22 00:00:00+01","Europe","3.95","333509.92","67344.84"
"2024-04-22 00:00:00+01","North America","4.33","337881.54","63371.46"
"2024-04-29 00:00:00+01","Asia","3.93","325070.94","66003.02"
"2024-04-29 00:00:00+01","Europe","4.07","339312.32","66981.12"
"2024-04-29 00:00:00+01","North America","4.20","314462.35","60419.39"
"2024-05-06 00:00:00+01","Asia","4.00","341754.41","68393.56"
"2024-05-06 00:00:00+01","Europe","4.10","342358.43","67114.92"
"2024-05-06 00:00:00+01","North America","3.77","300197.64","62932.38"
"2024-05-13 00:00:00+01","Asia","4.04","380555.99","75523.62"
"2024-05-13 00:00:00+01","Europe","4.22","348558.37","66835.65"
"2024-05-13 00:00:00+01","North America","3.96","357568.28","72068.70"
"2024-05-20 00:00:00+01","Asia","3.97","381004.21","76627.52"
"2024-05-20 00:00:00+01","Europe","3.73","345080.22","72920.79"
"2024-05-20 00:00:00+01","North America","3.95","340425.90","68832.01"
"2024-05-27 00:00:00+01","Asia","3.76","346318.81","72751.74"
"2024-05-27 00:00:00+01","Europe","3.77","363459.12","76171.97"
"2024-05-27 00:00:00+01","North America","4.34","383037.85","71781.25"
"2024-06-03 00:00:00+01","Asia","4.05","361281.30","71549.54"
"2024-06-03 00:00:00+01","Europe","3.81","331856.16","69056.78"
"2024-06-03 00:00:00+01","North America","3.80","374186.07","77999.96"
"2024-06-10 00:00:00+01","Asia","4.25","348797.21","66435.88"
"2024-06-10 00:00:00+01","Europe","3.83","344555.80","71391.88"
"2024-06-10 00:00:00+01","North America","3.96","364432.83","73437.25"
"2024-06-17 00:00:00+01","Asia","4.03","372958.81","74217.76"
"2024-06-17 00:00:00+01","Europe","4.14","357736.77","69588.43"
"2024-06-17 00:00:00+01","North America","4.15","381658.63","74058.98"
"2024-06-24 00:00:00+01","Asia","4.22","373217.62","71520.91"
"2024-06-24 00:00:00+01","Europe","4.06","371541.27","73389.86"
"2024-06-24 00:00:00+01","North America","3.84","338959.32","70098.54"
"2024-07-01 00:00:00+01","Asia","3.74","326166.81","68772.76"
"2024-07-01 00:00:00+01","Europe","4.00","355316.51","71059.26"
"2024-07-01 00:00:00+01","North America","3.89","331779.23","67847.59"
"2024-07-08 00:00:00+01","Asia","3.98","334774.01","67254.38"
"2024-07-08 00:00:00+01","Europe","3.94","367732.10","74468.20"
"2024-07-08 00:00:00+01","North America","3.88","353305.89","72472.69"
"2024-07-15 00:00:00+01","Asia","3.77","320839.09","67219.32"
"2024-07-15 00:00:00+01","Europe","3.77","316958.61","66471.90"
"2024-07-15 00:00:00+01","North America","4.37","376178.77","70097.16"
"2024-07-22 00:00:00+01","Asia","4.05","343481.14","67971.89"
"2024-07-22 00:00:00+01","Europe","4.50","367278.75","66831.85"
"2024-07-22 00:00:00+01","North America","3.92","337331.60","68590.56"
"2024-07-29 00:00:00+01","Asia","3.96","334838.01","67511.33"
"2024-07-29 00:00:00+01","Europe","3.78","372937.03","78045.54"
"2024-07-29 00:00:00+01","North America","3.87","355698.03","72975.76"
"2024-08-05 00:00:00+01","Asia","4.29","343914.09","65016.15"
"2024-08-05 00:00:00+01","Europe","3.58","326813.13","71393.03"
"2024-08-05 00:00:00+01","North America","3.83","322832.42","66771.34"
"2024-08-12 00:00:00+01","Asia","4.19","363947.27","70089.68"
"2024-08-12 00:00:00+01","Europe","3.85","336005.81","69253.12"
"2024-08-12 00:00:00+01","North America","3.97","350746.93","70596.29"
"2024-08-19 00:00:00+01","Asia","3.91","359478.56","73159.67"
"2024-08-19 00:00:00+01","Europe","3.90","337329.09","68824.76"
"2024-08-19 00:00:00+01","North America","4.06","359009.53","70913.39"
"2024-08-26 00:00:00+01","Asia","4.04","358132.11","71030.95"
"2024-08-26 00:00:00+01","Europe","4.04","338965.51","67281.02"
"2024-08-26 00:00:00+01","North America","3.90","317744.30","64901.80"
"2024-09-02 00:00:00+01","Asia","3.47","323876.84","72491.21"
"2024-09-02 00:00:00+01","Europe","4.07","359196.90","70798.74"
"2024-09-02 00:00:00+01","North America","3.82","349739.26","72608.37"
"2024-09-09 00:00:00+01","Asia","4.07","361462.81","71319.47"
"2024-09-09 00:00:00+01","Europe","4.29","374279.71","70770.98"
"2024-09-09 00:00:00+01","North America","3.70","355249.36","75574.16"
"2024-09-16 00:00:00+01","Asia","4.18","340995.57","65788.13"
"2024-09-16 00:00:00+01","Europe","4.36","374533.77","69934.92"
"2024-09-16 00:00:00+01","North America","4.03","356537.62","70847.40"
"2024-09-23 00:00:00+01","Asia","3.78","360191.90","75308.12"
"2024-09-23 00:00:00+01","Europe","4.19","376623.25","72543.45"
"2024-09-23 00:00:00+01","North America","4.08","334009.00","65771.52"
"2024-09-30 00:00:00+01","Asia","4.25","372174.02","70952.53"
"2024-09-30 00:00:00+01","Europe","3.82","330881.56","68691.88"
"2024-09-30 00:00:00+01","North America","3.62","336454.56","72862.50"
"2024-10-07 00:00:00+01","Asia","3.96","366689.98","73929.04"
"2024-10-07 00:00:00+01","Europe","3.54","312868.93","68914.87"
"2024-10-07 00:00:00+01","North America","4.29","326064.91","61614.70"
"2024-10-14 00:00:00+01","Asia","3.92","373039.47","75800.81"
"2024-10-14 00:00:00+01","Europe","4.69","392301.34","68965.07"
"2024-10-14 00:00:00+01","North America","3.98","394522.46","79184.86"
"2024-10-21 00:00:00+01","Asia","4.02","356525.59","71006.67"
"2024-10-21 00:00:00+01","Europe","3.76","324983.27","68307.13"
"2024-10-21 00:00:00+01","North America","3.99","389804.53","78054.43"
"2024-10-28 00:00:00+00","Asia","3.78","368222.29","77042.51"
"2024-10-28 00:00:00+00","Europe","4.15","342877.47","66533.98"
"2024-10-28 00:00:00+00","North America","3.95","367373.50","74252.93"
"2024-11-04 00:00:00+00","Asia","4.32","381893.90","71734.13"
"2024-11-04 00:00:00+00","Europe","4.07","355634.50","70102.44"
"2024-11-04 00:00:00+00","North America","4.15","343364.87","66733.14"
"2024-11-11 00:00:00+00","Asia","3.85","344420.31","71031.71"
"2024-11-11 00:00:00+00","Europe","4.01","356911.70","71224.97"
"2024-11-11 00:00:00+00","North America","3.70","326983.30","69628.91"
"2024-11-18 00:00:00+00","Asia","3.72","355389.10","75239.95"
"2024-11-18 00:00:00+00","Europe","3.85","324152.05","66768.80"
"2024-11-18 00:00:00+00","North America","4.38","386703.83","71844.31"
"2024-11-25 00:00:00+00","Asia","4.84","423826.24","72524.22"
"2024-11-25 00:00:00+00","Europe","6.06","481748.47","68248.55"
"2024-11-25 00:00:00+00","North America","5.26","447612.68","71510.20"
"2024-12-02 00:00:00+00","Asia","3.88","263234.99","53928.63"
"2024-12-02 00:00:00+00","Europe","4.20","246329.55","47408.04"
"2024-12-02 00:00:00+00","North America","4.29","268848.14","50838.23"
